"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17403237",2.81889892307775,9.23657391593921,18.6607130896518,3.47447129782428e-11,5.6258263635852e-09,16.1292313026113
"17254041",2.31956621694073,11.5976876792635,18.2714905818941,4.59855056334511e-11,7.08951647134362e-09,15.8465367850621
"17432674",2.00548471407439,10.0653185830077,18.2665489151518,4.61510836892674e-11,7.08951647134362e-09,15.8429078452241
"17296558",1.72369407908532,7.99616055279899,18.215482733151,4.78999699760566e-11,7.17421800316387e-09,15.8053479081971
"17490160",1.92357199061843,7.32056531143884,17.1688521743417,1.04944378891477e-10,1.53346774131425e-08,15.0109163102281
"17234786",1.66041353329538,9.95755631105971,17.0108128366386,1.18588624939514e-10,1.6915820286015e-08,14.8867141931905
"17239040",-1.52077329837169,6.98361915437868,-16.8951806731498,1.29768530158939e-10,1.80800759112141e-08,14.7951039672052
"17339772",-2.93481761850814,5.74521621317328,-16.8518883583904,1.34239759951711e-10,1.82779636788796e-08,14.7606438000848
"17236552",-2.03670492242089,6.73843734691081,-16.5959523757669,1.64272830849519e-10,2.18701895470992e-08,14.5550986499346
"17225815",-2.0447108966275,7.81855005457588,-16.3859675158603,1.94281808610008e-10,2.53030938126643e-08,14.384088983918
"17323838",-2.19375709117005,5.80222245642719,-16.2816755641162,2.11318874795663e-10,2.69364123170387e-08,14.2983461085629
"17451987",-1.55335366979371,6.80127850650507,-16.1718503412523,2.30999699289465e-10,2.84400909861715e-08,14.2074658028569
"17487457",1.53973417629332,8.12281389315153,16.1633127778585,2.32609657540044e-10,2.84400909861715e-08,14.2003755050933
"17495839",1.78871706103328,10.9299621248318,16.0550100563213,2.54107203366842e-10,2.98668338367912e-08,14.1101106160725
"17236900",-1.59590970791639,7.44599588728414,-16.0543264237895,2.54249461805433e-10,2.98668338367912e-08,14.109538942972
"17470627",1.45853237774512,11.8828654649752,15.9919715157767,2.67589970595914e-10,3.08294521892331e-08,14.0572951831295
"17288716",1.48574294169309,11.0701940065664,15.8196892510786,3.08491611216215e-10,3.46418646947234e-08,13.9119044061877
"17392151",2.74628042145731,7.71511621936207,15.8046250081794,3.12373104248099e-10,3.46418646947234e-08,13.8991179656573
"17527016",2.146568444747,8.53784543297445,15.7783029466207,3.19281151752869e-10,3.46418646947234e-08,13.8767473503416
"17379659",2.55866538838194,8.93277405073919,15.7613754804133,3.23809785161828e-10,3.46418646947234e-08,13.8623417596641
"17339013",1.60128124008403,10.2234614352192,15.6085677603144,3.6793922085557e-10,3.86723486341355e-08,13.7316125413554
"17254047",2.86705858632036,9.40083817224169,15.5052109281243,4.01406041513388e-10,4.14624757708053e-08,13.6424814059386
"17377870",1.6851428827896,8.50646059644225,15.3242893673469,4.68072544552262e-10,4.73072636716842e-08,13.4850653870189
"17487186",1.52970793813282,9.44277386704299,15.2914923792082,4.81376927236116e-10,4.73072636716842e-08,13.4563370885731
"17403255",2.85980079588026,9.46001068008864,15.2761347246198,4.87745277156425e-10,4.73072636716842e-08,13.4428642012219
"17430894",1.26061834870464,9.71261366501659,15.2717592431076,4.89576088740514e-10,4.73072636716842e-08,13.4390233079924
"17300273",1.51173346443743,9.59520600368735,15.2061307720494,5.17935768348194e-10,4.92532252091116e-08,13.3812855232349
"17262855",1.52085979737317,9.32938411021863,15.140482012673,5.48067236404871e-10,5.13042314578372e-08,13.3232892445448
"17311643",1.53834783487055,6.59587847702303,15.1163514286803,5.59608833891149e-10,5.15787157514134e-08,13.3019106690594
"17232332",-1.66360237686588,6.36409501185164,-15.0899989353292,5.72510452659011e-10,5.19424629776511e-08,13.278526083867
"17515074",1.9802274426183,9.58218530949873,15.0703124633863,5.82355773165942e-10,5.19424629776511e-08,13.261031158124
"17226771",1.3613001483911,9.84784833533864,15.0561200945331,5.89565595473255e-10,5.19424629776511e-08,13.2484051025804
"17405082",4.23680221276218,7.89697998410463,14.852810471803,7.04012107315826e-10,6.1126616448248e-08,13.0662706245729
"17284349",-2.1448306599231,7.94034029033363,-14.783683812801,7.48154073486631e-10,6.40313007751201e-08,13.0038004222939
"17394153",1.26729058031189,7.13726138861352,14.7662825541779,7.59725611565495e-10,6.4105861111111e-08,12.9880309147445
"17510345",1.43646458667698,9.21941757123156,14.7220252384417,7.90026162674842e-10,6.57367602859025e-08,12.9478438024656
"17462788",1.700851562716,5.48720049182459,14.630260091717,8.57044347304264e-10,7.03363381465732e-08,12.8641505543844
"17322355",1.18982005183154,11.4894382970952,14.6147730851421,8.68941685960462e-10,7.03490491971503e-08,12.8499766634894
"17474974",1.71059292018283,9.98653064237378,14.5901732048901,8.88203778486584e-10,7.09497178255083e-08,12.8274332389877
"17230225",-1.87836329204039,6.79948688582884,-14.5522015099587,9.18836959063587e-10,7.24309502861836e-08,12.7925649822297
"17226593",-2.32633411102175,6.8649547553515,-14.5103228706745,9.53935409470318e-10,7.42211303654113e-08,12.7540090057419
"17476372",1.48264538930371,8.01974184534748,14.4304324455978,1.0249257407143e-09,7.87221809310178e-08,12.6801642589567
"17358797",2.14378519567262,7.68629245575621,14.3190840224567,1.13343397769842e-09,8.59544678530533e-08,12.5765956672239
"17474547",1.91688904761924,6.13536439505025,14.2088141821628,1.25306386848514e-09,9.3795918656595e-08,12.473280337319
"17462796",1.44067978338421,10.4762319300125,14.1957148706661,1.26814712254785e-09,9.3795918656595e-08,12.4609571579728
"17305757",-1.3392359849699,7.19363558877096,-14.1363366794108,1.33899122262286e-09,9.78280050577263e-08,12.4049630343705
"17212252",-1.9417154187235,5.45768685838882,-14.1153405377635,1.36504331566594e-09,9.85298133030679e-08,12.3851107441911
"17275255",-1.74177330978578,6.64746426751822,-14.0942700174203,1.39173256460248e-09,9.92603546968271e-08,12.3651603157316
"17411159",2.02115142137712,8.37199109467781,14.0680114329692,1.42577568743145e-09,1.00492025216492e-07,12.340258523915
"17253707",2.52179356062861,8.21544008746909,13.9917429465177,1.52979466245017e-09,1.06569765380686e-07,12.2676837843061
"17212211",-1.62121855682612,5.31098056663541,-13.961793600712,1.5728313381594e-09,1.08308420079459e-07,12.2390839063675
"17463781",-1.18776750101254,9.810000089959,-13.9314168720755,1.6178053713341e-09,1.10139454314348e-07,12.2100174279048
"17367686",1.48072199655434,8.98101682570821,13.9108810909406,1.64898613517234e-09,1.11000853211433e-07,12.1903339624041
"17327331",-1.32957609747828,7.48107456967025,-13.8468488815421,1.75039933484945e-09,1.16228807001675e-07,12.1287853028689
"17497813",1.65649924521889,10.1352803252709,13.8376834867802,1.76545175048446e-09,1.16228807001675e-07,12.1199537602928
"17239597",2.34816710218314,7.58594991616886,13.8159765990842,1.80165518412247e-09,1.1702950733649e-07,12.0990158644928
"17371374",1.72333320213538,8.75934300376531,13.8071029842305,1.81668238729654e-09,1.1702950733649e-07,12.0904478129408
"17266659",1.15104876342005,8.63647910342333,13.7657036101228,1.8885810601694e-09,1.20366905653988e-07,12.0504063940632
"17471502",2.61002741654332,7.57279789307529,13.7073162234952,1.99519191231801e-09,1.25823102596813e-07,11.9937440981968
