"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17367686",2.50308235577869,8.98101682570821,23.5156100153139,1.56603740228174e-12,2.28832440904144e-10,19.2167901433994
"17396638",2.23117761089705,7.96892561214861,23.23798232596,1.8379867842463e-12,2.6193386460028e-10,19.0552415741004
"17379659",3.76607818758617,8.93277405073919,23.199036760597,1.88001271537507e-12,2.6193386460028e-10,19.0324156542089
"17337228",2.59560816535604,9.09368064676284,23.0695425642926,2.0273109175389e-12,2.6999862188302e-10,18.9562260704188
"17432674",2.53273864763315,10.0653185830077,23.0689339447992,2.02803171169019e-12,2.6999862188302e-10,18.9558669119642
"17449718",5.28520707346326,10.0268981186363,22.8291993510882,2.33447696079254e-12,3.04040249393655e-10,18.8136092591563
"17510345",2.22182314562991,9.21941757123156,22.7710009203819,2.416117758676e-12,3.07977904089955e-10,18.7788363125281
"17391565",7.37881684613067,10.4157942117245,22.6665271933676,2.57044315706986e-12,3.15898299293693e-10,18.716178454666
"17403255",4.24171217227181,9.46001068008864,22.6578601908316,2.58371167841612e-12,3.15898299293693e-10,18.7109667690894
"17254041",2.84838821404465,11.5976876792635,22.4370824365324,2.94767460612142e-12,3.53190371305468e-10,18.5774951132759
"17441051",3.54059176545907,8.93312311300344,22.2888210936891,3.22267603942163e-12,3.73959894097844e-10,18.4870862276783
"17329454",2.08279128202852,6.20044806186554,22.255898054905,3.2873946129221e-12,3.73959894097844e-10,18.4669243264029
"17231066",-1.93842027018052,7.86029940128162,-22.231693760633,3.33586124813905e-12,3.73959894097844e-10,18.4520817836148
"17377870",2.44283142196691,8.50646059644225,22.2145290872301,3.37069508951487e-12,3.73959894097844e-10,18.4415458044672
"17406279",1.81261244974977,8.69198356684073,21.8429706140717,4.22860995211522e-12,4.50785672821294e-10,18.2113649856718
"17471502",4.15563579631558,7.57279789307529,21.8245270562002,4.27688124635999e-12,4.50785672821294e-10,18.1998328730463
"17494386",3.72561758052474,6.40023221655875,21.8199706040763,4.28889723765878e-12,4.50785672821294e-10,18.1969823173772
"17468511",2.16536565344347,8.59478700320549,21.7577144787214,4.456745645379e-12,4.60351088990786e-10,18.157972080335
"17327331",-2.08252297582344,7.48107456967025,-21.688402035249,4.65192786163133e-12,4.69105048877908e-10,18.1144032713422
"17249980",2.73768679070921,8.98231191751707,21.6724615773931,4.69809763523193e-12,4.69105048877908e-10,18.1043628277012
"17236552",-2.61575973346642,6.73843734691081,-21.3143413585203,5.87591962853842e-12,5.77092368763503e-10,17.8767478022779
"17356743",1.77607070434846,9.07751846287981,21.2157912470002,6.25290871425013e-12,6.04212517856009e-10,17.8134150374113
"17435055",1.87658373357903,8.19674505156039,21.1559690382024,6.49431499678795e-12,6.17578430885025e-10,17.7748219745137
"17296558",1.98382061618444,7.99616055279899,20.9644220620358,7.33679213026061e-12,6.86792525818614e-10,17.650486861138
"17451987",-2.00352520329557,6.80127850650507,-20.8585529314301,7.85200991061478e-12,7.23713713453741e-10,17.5812624996183
"17239040",-1.86534315555751,6.98361915437868,-20.7232134232704,8.56773851708226e-12,7.71351435411687e-10,17.4922399630558
"17521541",2.23491341121297,7.90273569850405,20.7126686085331,8.62636390795911e-12,7.71351435411687e-10,17.4852788012976
"17284349",-2.97252440120675,7.94034029033363,-20.488732138346,9.97835738340664e-12,8.79122633588076e-10,17.3365821417472
"17307280",2.72033623439023,9.57305818576378,20.3832735613273,1.06920774329552e-11,9.16465608851123e-10,17.2659785790753
"17212211",-2.36660357238225,5.31098056663541,-20.3809847063405,1.07081610114469e-11,9.16465608851123e-10,17.2644420711862
"17234786",1.97382020429244,9.95755631105971,20.2216408112239,1.18940855539649e-11,1.00362628949019e-09,17.1570388731988
"17230045",3.18734615162004,9.65860567523583,20.1692144249955,1.23143996725627e-11,1.01971401306123e-09,17.1215127500956
"17219662",4.29733088374999,6.86917777466909,20.1557178845978,1.24251582295893e-11,1.01971401306123e-09,17.1123517377831
"17414536",1.85789440549394,10.1812492770866,20.1127626142965,1.27848217615008e-11,1.03505225909664e-09,17.0831534311242
"17275255",-2.48006737696083,6.64746426751822,-20.0684779562848,1.31673077695771e-11,1.05180454463382e-09,17.0529849123595
"17250249",1.74489617518726,9.09549995922388,19.873946922437,1.49985697359466e-11,1.18232146431653e-09,16.9196552986729
"17466060",1.94069640399267,10.8132706076936,19.8544576753254,1.51965219094275e-11,1.18236834752442e-09,16.9062245551617
