"","none.1","none.2","none.3","saprophyte.1","saprophyte.2","saprophyte.3","attenuated.1","attenuated.2","attenuated.3","virulent.1","virulent.2","virulent.3"
"17432514",4.56566046559578,4.29106551426617,4.24900812326974,4.27576033370227,4.06897542638389,4.46892322752416,4.23393219207016,3.8759606265062,3.9569496884937,4.40478498847453,3.64730788966544,3.92109347865857
"17431350",9.24501863384224,9.02845982682653,9.14168794390119,8.94881745258612,9.00065320135492,8.97632511162103,8.62436825454821,8.80647126564629,8.78307374496594,8.63640798511476,8.4622491955262,8.77355363544314
"17412418",6.57449708608351,6.51689446357189,6.5483035653834,6.99090352875864,7.28143079416123,6.90385928258498,7.02720484031156,7.21446029280773,7.19075067277477,7.17817657770445,7.19968541255455,7.02452122313045
"17219670",3.21512365699814,3.54589923383164,3.4148018247528,4.16012021565719,3.63964794212898,3.78165332822085,3.63402915958029,4.09464105244763,3.85975434514272,3.88921259361455,4.36130749359716,4.00803229539815
"17254289",8.82596356555885,8.62965083905575,8.75515960196533,9.65713584537497,9.62996188856307,9.56011698500078,10.064760997258,10.1139602521944,10.1367568723848,9.81781645760933,10.3785728743982,9.98118655085649
"17390614",4.68678400616021,4.33464894831337,4.36559679256463,4.44166826122794,4.80874233480507,4.67604247343782,4.65206239919569,4.6208867553596,4.43307016752806,4.80503129897227,4.27106275877008,4.51765889569978
"17330168",3.41343053401244,3.04401935863867,3.04079702702438,3.31051814314086,2.86180585476682,3.08864572752284,3.32627341325915,2.96202551343807,3.27888006659601,3.30009361791101,3.19690846124377,3.30296747283823
"17334200",4.44246736924101,4.39584874230628,4.57195129771773,4.65154087568135,4.32286515203167,4.89764664732864,4.81390050144334,4.37126581995593,4.59974549909753,4.52759337430272,4.42219977435649,4.8032726085088
"17302724",9.42024852307751,9.21878406112963,9.33743194980739,9.03494346542517,9.01861235472093,8.86292590067877,8.80500224030465,8.54999996001257,8.53717781818962,8.78745717399966,8.62052374693801,8.48788962031412
"17340631",5.32890001107775,5.28358372799582,5.2681496272768,5.53562331461218,5.14907954602995,5.06474295759249,5.33316158346254,5.03966223848294,5.30934566082923,5.40107330969941,5.43701753572341,5.60204820712743
"17488561",4.39666057939572,4.57711572685827,4.63275959863342,4.63222140346472,4.34870147215989,4.29951873465264,4.6501965055744,4.70866310966779,4.73131537100795,4.67571571622245,4.80760586816685,4.67601087505944
"17333373",4.87632053733821,4.84372566744127,4.66000664829131,4.71619844721613,4.43904818816761,4.30103191567721,4.44292192802734,4.38616225690493,4.32714496759569,4.4790015765032,4.22147777369616,4.18115835109348
"17526659",5.13378252734128,5.36201187944685,5.53176345139457,5.02144020553705,5.29305519344921,5.20504925972391,4.94159731781126,5.17782999496662,5.27927756112222,4.92288614201812,5.24558254717949,5.01911827067994
"17234606",3.86257995576605,4.19611093327726,3.93100092448621,3.92771243488703,4.17981958878275,3.99417710625072,4.17412662808133,4.11841408342888,4.18998686872233,4.19672282286136,3.90727585881166,4.44546874784401
"17385712",4.52946238525877,4.41700910527559,4.59532541150506,4.40587924373183,4.38685405587146,4.6615269051689,4.68658169936293,4.78260640763438,4.55251689260913,4.75497153016443,4.59440753309669,4.85975679128513
"17476599",5.0754641836347,5.56386744517633,5.44328780321313,5.55074109684703,5.17284046266374,5.571349110147,5.52690915673365,5.54487957617494,5.63081004206364,5.4961110426162,5.27441525680548,5.41709614363788
"17279759",5.22826593753142,5.0620908168064,5.13779777096584,4.70297971197932,4.53388502036915,4.40399900979434,4.28491497812686,4.1156256163588,4.25975371477066,4.27601625649366,3.9882669545435,4.46243299886094
"17319103",5.90308740068492,6.14014907164403,6.05477971957954,6.04587740016885,6.6372175422066,6.50453027292812,6.61786511940448,6.83152225737502,6.94289810405077,6.51017953579619,7.15499538563931,6.88829019289114
"17261173",4.42353412696345,4.51659502672293,4.67617586997203,4.27334556760961,4.60723997846056,4.07718984796595,4.3257891842324,4.45528515066034,4.66264809381025,4.34859716263379,4.18725181294966,4.54043547138891
"17381511",3.96571118830509,3.93606547765223,3.8775489643719,3.88457534267081,3.66850424478815,3.68518208983636,3.81188631995204,4.1201992502031,3.95813141106762,4.05413687252752,3.81188057666158,3.61743420408269
"17316559",4.35964875032177,4.7481086234558,4.7489609948371,4.41899156159611,4.43690346824151,4.42890066055122,4.25287023281638,4.67277812266166,4.58605796592682,4.33003233543326,4.76003729333688,4.51182393540205
"17300181",4.49573354399031,4.45378269169812,4.33889528689498,4.6832009900495,4.5635410110556,4.207289558565,5.06458735350683,4.95552487537908,5.04076701694768,4.64126945710147,5.00425514458167,4.59478175610895
"17434023",7.87298804221102,6.97919354040201,7.1679230251525,9.56329331427882,9.32896259655186,9.64768015373362,10.7188072086749,10.6360997619171,10.7659949272702,10.7499948093945,10.873212298751,10.6997135180527
"17404993",3.94541304384353,4.2781819783239,3.94060438086164,3.85978490334403,4.04873645309927,4.02871449700305,3.93399658835154,4.80273134425466,4.38763943141225,4.0963024556675,4.77226133636206,4.334745012827
"17275234",3.94271885502775,3.53048001211122,3.82838725225926,3.84182988160755,3.83845849183298,4.25930065520217,3.71639571245285,3.35343237241619,3.89925885159745,4.01324478471956,3.96653022386554,3.50856714143729
"17380518",7.39924599376491,7.09852684978955,7.55754088546347,7.41264423238462,7.01343692556312,7.08989715630269,7.09949141589972,6.61321307215837,6.79793181943545,7.02212745522576,6.31027243355071,6.38119117474352
"17464248",5.14855556349087,5.37848775514862,5.1673168832565,4.70895068166258,4.79296145533078,5.06880198047557,4.82235115255825,4.91684338021829,5.0351224602001,4.9058701041375,4.76563405220017,5.0865421785985
"17520116",3.51304101208997,3.9798575239101,3.52236764990931,4.03567069240537,3.81046815766461,3.81186005960681,3.69503061518225,3.79158853709058,3.87283984440454,4.07962717704352,4.00506158659824,3.66782215185236
"17529569",8.73185889137075,8.44567811215899,8.35926387824847,8.85967263078811,8.4039879836977,8.16849117929213,9.24061152990005,8.77423026187162,8.9035344342348,9.35723806653045,9.04932095925545,8.77463349331254
"17443067",11.4466166202435,11.1973254527436,11.3178969265892,11.5251631483115,11.1447658840482,11.3307921277457,11.4424106527631,10.9937452097404,11.1934742197737,11.4491100828608,11.0633759338341,11.203765251608
"17214910",6.30623518112841,6.25968050450382,6.79647647353211,6.56862168607307,6.51457823728615,6.86916481104165,7.85308496844435,8.00315884305171,8.20087026062798,7.86000798582219,8.01965772475057,8.13999696745263
"17444851",5.33320203038739,5.199698203041,5.04554212763295,4.87419863691237,4.95808152741106,4.88884491858342,4.63555852940426,4.6877564253886,4.75259098604413,4.63954424867489,4.54156011910806,4.69496914741385
"17534197",4.9045906163091,4.71404125784805,5.30869692307136,5.12021298255718,5.24385426690005,5.04165237830612,5.02904370555255,5.29464061858546,4.95566572475907,4.93046707168327,5.49626540508908,5.08826541238286
"17534213",4.27730472883308,4.01873848923467,3.94158042483153,4.07752329669166,4.39269760465736,4.41885768915965,4.40190994122496,3.83075422195853,4.16595203476329,3.89290408596682,4.14381792714339,4.15902478058251
